Date;TIME;Pts_01;Pts_02;Pts_03;Pts_04;Pts_05;Pts_06;Pts_07;Pts_08;Pts_09;Pts_10;Pts_11;Pt_12;Pt_13
30-03-2016;13:53:00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
30-03-2016;19:59:00;-0.93;0.16;-0.16;0.07;0.13;0.09;-1.07;-0.16;0.14;0.23;-0.19;-0.34;-0.22
31-03-2016;03:54:00;-1.20;0.29;0.00;-0.21;0.12;-0.14;-1.35;-0.43;-0.01;0.15;-0.01;-0.07;0.23
31-03-2016;11:56:00;-0.83;0.10;-0.04;-0.27;0.14;-0.13;-0.99;-0.58;-0.15;-0.14;0.72;0.64;0.67
31-03-2016;19:58:00;-0.27;0.18;-0.16;-1.39;0.19;0.09;-0.92;-0.57;0.21;0.33;0.95;0.50;0.94
01-04-2016;04:01:00;-0.22;0.19;0.10;-1.44;0.21;0.18;-1.18;-0.56;0.26;0.95;0.70;0.05;0.58
01-04-2016;12:03:00;-0.60;0.54;0.35;-1.05;-0.26;0.18;-0.84;-0.34;0.31;0.85;0.75;0.30;1.03
01-04-2016;19:58:00;-1.93;0.64;-0.14;0.08;0.50;-0.32;-1.79;-0.93;0.01;0.02;0.26;0.69;0.94
02-04-2016;03:53:00;-0.83;0.64;-0.51;-0.17;0.78;-0.46;-1.86;-1.32;-0.03;0.21;1.15;1.43;1.30
02-04-2016;11:55:00;0.44;1.38;-0.79;-0.26;-0.03;-0.33;-1.32;-0.79;-0.04;0.55;0.81;1.16;1.15
02-04-2016;19:57:00;0.43;1.35;-1.20;0.84;0.79;-0.90;-1.47;-0.53;-0.51;-0.04;0.80;0.93;1.45
03-04-2016;04:00:00;-0.77;1.87;-1.00;1.26;0.87;-1.06;-2.23;-0.83;-0.73;-0.75;0.38;1.08;1.43
03-04-2016;12:02:00;-0.05;2.10;-0.42;-0.26;-0.16;-1.15;-1.72;-0.69;-0.84;1.10;0.87;1.75;1.68
03-04-2016;20:04:00;-0.25;2.20;-0.71;0.58;-0.96;-0.81;-1.77;-0.53;-0.01;0.64;1.71;2.65;2.61
04-04-2016;03:59:00;0.98;2.89;-1.32;-1.29;-0.56;-0.20;-0.57;0.43;0.17;1.33;1.36;2.05;2.27
04-04-2016;11:54:00;1.38;2.98;-1.32;-0.86;-0.60;-0.83;-0.79;-0.07;-0.61;1.34;1.49;1.93;2.41
04-04-2016;19:56:00;2.55;2.28;-1.45;-1.28;-0.42;-0.27;-0.08;0.71;0.04;0.94;1.48;1.42;2.26
05-04-2016;04:01:00;1.25;2.07;-1.27;0.03;1.40;-0.80;-1.08;-0.24;-0.57;0.65;0.33;0.74;1.46
05-04-2016;12:01:00;1.00;1.19;-0.78;-0.36;-0.03;-0.87;-0.99;-0.17;-0.56;1.19;0.44;1.05;1.65
05-04-2016;20:03:00;2.37;1.52;-1.42;0.12;1.39;-1.15;-1.30;0.03;-0.81;-0.01;1.05;1.15;1.94
06-04-2016;04:05:00;2.14;1.88;-1.54;-0.91;1.03;-0.74;-1.34;0.49;-0.35;0.49;0.79;0.92;1.88
06-04-2016;12:00:00;2.57;2.66;-1.68;-1.11;0.29;-1.38;-1.98;0.17;-0.99;1.42;0.26;0.93;1.28
06-04-2016;16:17:00;2.45;2.69;-1.72;-2.16;0.13;-0.82;-1.12;0.87;-0.60;1.35;0.72;1.76;1.37
11-04-2016;12:36:00;0.78;2.72;-1.34;-1.68;-0.17;-0.46;0.02;1.53;-0.08;0.40;0.68;1.48;1.39
11-04-2016;19:59:00;0.25;3.26;-1.47;-1.37;0.21;-0.47;0.03;1.82;0.12;0.93;0.63;1.62;1.38
12-04-2016;03:54:00;0.25;2.90;-1.20;-1.12;0.49;-0.33;0.70;1.54;0.02;0.66;-0.16;1.33;1.87
12-04-2016;11:56:00;0.25;2.08;-0.86;-0.41;0.36;-0.46;0.69;1.16;-0.28;0.47;0.21;1.86;1.81
12-04-2016;19:59:00;0.00;2.57;-1.19;-1.53;0.56;-0.40;-0.00;1.11;-0.04;0.61;0.62;1.85;1.75
13-04-2016;04:01:00;-0.19;2.45;-1.10;-0.95;0.22;-0.41;-0.24;0.82;-0.14;0.45;0.54;1.60;1.54
13-04-2016;11:58:00;0.43;3.22;-1.15;-0.50;-0.23;-0.42;0.29;1.19;-0.15;0.66;0.86;2.16;1.67
13-04-2016;19:58:00;0.48;3.20;-1.48;-1.82;0.03;-0.27;-0.01;1.78;0.18;0.79;0.90;2.23;1.55
14-04-2016;03:53:00;-0.11;3.01;-1.40;-1.06;-0.06;-0.51;-0.39;1.46;-0.12;0.77;1.14;2.21;1.62
14-04-2016;11:55:00;0.86;3.18;-1.65;-0.36;-0.12;-0.36;0.01;1.86;0.06;1.35;1.11;2.42;1.70
14-04-2016;19:57:00;0.55;2.95;-1.80;0.61;-0.36;-0.51;-0.49;1.32;-0.14;1.06;0.46;2.73;1.50
15-04-2016;04:00:00;0.30;2.95;-1.75;1.59;0.12;-0.46;-0.15;1.48;-0.26;0.35;0.18;2.66;1.37
15-04-2016;12:02:00;0.86;3.22;-1.46;1.22;0.24;-0.64;-0.01;1.47;-0.39;0.63;0.69;2.06;1.41
15-04-2016;20:05:00;1.26;3.84;-2.05;1.52;0.47;-0.46;-0.15;2.05;-0.06;0.75;0.97;2.43;1.54
16-04-2016;03:59:00;0.29;4.22;-1.56;1.48;0.70;-0.44;-0.29;1.95;-0.12;0.49;0.37;2.22;1.22
16-04-2016;11:54:00;1.08;4.10;-1.79;1.13;0.29;-0.43;-0.83;2.43;-0.20;0.53;0.84;2.74;0.95
16-04-2016;19:56:00;1.57;4.16;-1.55;0.79;0.15;-0.27;-0.81;2.60;0.11;0.30;0.81;2.99;1.47
17-04-2016;03:58:00;0.70;4.12;-1.57;0.30;0.21;-0.19;-0.86;2.31;0.08;0.30;0.25;2.62;0.93
17-04-2016;12:01:00;0.62;4.29;-1.38;0.52;-0.05;-0.18;-0.81;2.50;0.08;0.49;0.11;3.13;0.85
17-04-2016;20:03:00;0.19;4.43;-1.18;1.14;0.02;-0.16;-0.95;2.60;0.17;0.96;0.09;2.80;0.72
18-04-2016;04:04:00;-0.18;4.13;-1.26;0.92;0.24;-0.28;-0.68;2.53;0.11;1.20;-0.09;2.62;0.80
18-04-2016;11:53:00;0.70;4.33;-1.74;1.18;0.42;-0.41;-0.23;2.43;-0.08;0.86;0.13;2.46;1.25
18-04-2016;19:55:00;-0.55;4.50;-1.87;2.29;1.05;-0.94;-0.52;2.28;-0.48;0.10;-0.04;2.50;1.34
19-04-2016;03:57:00;-0.48;4.32;-1.67;3.48;0.78;-0.91;-0.64;2.06;-0.71;-0.18;0.12;2.91;1.50
19-04-2016;12:05:00;0.32;4.91;-1.39;3.53;0.17;-0.39;0.13;3.00;-0.34;0.69;0.76;2.83;2.14
19-04-2016;20:02:00;-0.97;5.51;-1.76;3.01;0.51;-0.34;0.56;3.24;-0.15;0.46;0.56;2.55;1.44
20-04-2016;04:05:00;0.21;5.53;-1.72;2.50;0.08;-0.21;0.12;3.58;0.12;0.94;0.30;2.39;1.33
20-04-2016;11:59:00;0.27;5.57;-1.68;2.22;0.23;-0.20;0.40;3.81;0.03;0.63;0.21;2.29;1.42
20-04-2016;19:54:00;0.15;5.55;-1.66;2.12;0.39;-0.17;0.00;3.98;0.00;0.80;0.02;2.25;1.39
21-04-2016;03:56:00;0.48;5.52;-1.66;2.48;0.25;-0.35;-0.19;3.85;-0.04;0.74;-0.15;2.09;1.24
21-04-2016;11:58:00;0.76;5.35;-1.54;1.97;0.45;-0.33;-0.17;3.80;-0.09;0.76;0.04;2.08;1.13
21-04-2016;20:01:00;0.64;5.01;-1.64;1.35;0.45;-0.57;-0.79;3.82;-0.35;0.52;-0.37;2.65;1.17
22-04-2016;04:03:00;0.70;5.31;-1.49;0.56;0.64;-0.33;-0.62;3.30;-0.23;0.58;-0.13;2.63;1.40
22-04-2016;12:06:00;0.45;4.97;-1.47;0.71;0.39;-0.18;0.16;3.22;-0.01;0.56;0.41;3.05;1.57
22-04-2016;20:00:00;-0.08;4.88;-1.25;0.44;0.74;-0.21;0.18;3.05;0.02;0.19;0.31;2.82;1.23
23-04-2016;03:53:00;-0.27;4.79;-1.31;0.57;0.70;-0.24;-0.30;2.45;-0.12;0.54;-0.19;2.63;1.17
23-04-2016;11:57:00;-0.50;4.84;-0.83;1.15;0.52;-0.44;-0.09;2.16;-0.39;0.50;0.17;2.97;1.20
23-04-2016;20:00:00;0.03;5.23;-1.24;0.39;0.47;-0.16;0.12;2.28;0.03;0.46;0.04;3.05;1.19
24-04-2016;04:02:00;-0.06;5.24;-1.13;0.14;0.42;-0.11;-0.05;2.25;0.12;0.59;0.11;2.78;1.06
24-04-2016;12:05:00;0.09;4.99;-0.80;0.43;0.61;0.03;-0.51;1.96;0.02;0.17;0.55;2.78;1.11
24-04-2016;19:59:00;0.20;4.84;-0.68;-0.37;-0.54;0.07;-0.31;2.09;0.21;0.58;0.31;3.10;1.19
25-04-2016;03:54:00;-0.37;4.77;-0.44;-0.03;0.57;-0.02;-0.80;1.80;0.11;0.67;0.07;2.84;0.52
25-04-2016;11:56:00;-0.34;4.40;-0.56;-0.02;0.64;0.21;-0.69;2.16;0.03;0.49;0.77;3.24;1.40
25-04-2016;19:12:00;-0.54;4.04;-0.67;-0.35;0.18;0.20;-0.68;2.24;0.28;0.89;0.33;3.29;1.25
26-04-2016;07:13:00;-0.77;3.71;-0.65;0.39;0.31;0.09;-0.77;2.39;0.14;0.77;-0.14;3.07;1.06
26-04-2016;11:57:00;-0.67;3.67;-0.58;0.25;0.88;0.44;-1.00;2.71;0.34;0.85;0.67;3.25;1.34
26-04-2016;19:55:00;-1.20;3.69;-0.67;0.65;0.75;0.45;-0.56;2.83;0.38;0.88;0.68;3.57;1.53
27-04-2016;04:02:00;-1.96;3.47;-0.62;0.72;0.04;0.29;-1.08;2.79;0.28;0.67;0.84;3.69;2.07
27-04-2016;11:57:00;-1.95;3.19;-0.41;0.93;0.96;0.35;-1.30;2.93;0.28;0.61;1.10;3.63;1.81
27-04-2016;20:02:00;-2.25;3.18;-0.53;0.96;0.44;0.35;-1.80;3.05;0.40;1.02;0.31;3.44;1.69
28-04-2016;04:05:00;-2.43;2.95;-0.61;0.88;0.84;0.24;-1.77;3.04;0.21;1.06;0.25;3.79;2.12
28-04-2016;12:00:00;-2.29;3.12;-0.42;0.48;1.05;0.54;-1.67;2.76;0.48;1.36;0.09;3.86;1.75
28-04-2016;19:54:00;-1.80;2.88;-0.18;-0.00;0.56;0.58;-2.25;2.80;0.53;1.32;0.11;4.30;2.10
29-04-2016;03:57:00;-2.20;2.82;-0.12;0.55;0.53;0.41;-2.36;2.76;0.28;1.48;0.30;4.11;1.76
29-04-2016;11:59:00;-1.00;2.54;-0.23;0.20;0.53;0.61;-1.45;2.90;0.56;1.46;0.37;4.18;1.77
29-04-2016;20:01:00;-1.11;2.10;-0.20;0.56;0.49;0.43;-0.94;2.83;0.42;1.61;0.60;3.93;1.94
30-04-2016;04:04:00;-0.68;2.66;-0.45;0.27;0.70;0.41;-0.55;2.61;0.41;1.05;0.32;4.29;1.34
30-04-2016;11:58:00;-0.12;2.06;-0.23;0.31;0.41;0.67;-0.36;2.31;0.61;1.31;0.81;4.22;1.83
30-04-2016;19:53:00;-0.29;2.52;-0.17;0.21;0.05;0.56;0.39;2.45;0.50;1.27;0.76;4.62;2.03
01-05-2016;04:00:00;-0.82;2.80;-0.25;-0.35;0.24;0.43;-0.07;2.55;0.38;1.21;0.73;4.63;1.93
01-05-2016;11:58:00;-0.14;2.36;-0.33;-1.46;0.38;0.60;0.52;2.35;0.51;1.37;1.20;4.88;2.14
01-05-2016;20:00:00;-0.24;2.36;-0.46;-1.80;0.41;0.53;0.67;2.49;0.48;1.27;1.01;4.67;2.14
02-05-2016;04:02:00;-1.15;2.52;-0.54;-2.32;0.44;0.66;0.88;2.48;0.58;1.42;1.13;4.74;2.15
02-05-2016;12:04:00;0.29;2.86;-0.64;-1.98;0.36;0.60;0.56;2.50;0.59;1.48;1.12;4.90;1.91
02-05-2016;19:59:00;1.24;2.91;-0.79;-1.82;0.08;0.55;0.00;2.30;0.49;1.17;1.13;4.71;1.89
03-05-2016;03:54:00;0.70;3.10;-0.62;-1.57;0.38;0.40;-0.31;2.13;0.35;1.28;0.89;4.68;1.77
03-05-2016;11:58:00;1.21;2.45;-1.01;-1.58;0.51;0.03;-1.31;1.75;0.04;1.42;0.87;4.30;1.61
03-05-2016;19:58:00;0.86;2.86;-1.20;-2.48;0.20;0.54;-0.80;2.38;0.64;1.26;1.07;4.39;1.83
04-05-2016;00:31:00;-0.26;3.12;-1.03;-2.53;0.24;0.63;-0.70;2.31;0.63;1.15;1.11;4.26;1.76
13-05-2016;14:16:00;-0.68;3.20;-1.19;-2.06;0.94;0.58;0.13;1.72;0.79;0.55;0.81;3.64;2.11
13-05-2016;19:58:00;-1.83;2.73;-1.11;-2.24;0.85;0.48;0.10;1.72;0.74;1.39;1.09;3.66;1.99
14-05-2016;03:53:00;-2.41;2.58;-1.27;-2.66;1.02;0.41;-0.11;1.63;0.76;1.06;1.07;3.78;1.84
14-05-2016;11:55:00;-2.52;3.05;-1.62;-2.73;0.75;0.55;0.11;1.76;0.90;0.88;1.02;3.84;2.05
14-05-2016;19:57:00;-1.69;3.46;-1.26;-3.02;0.58;0.46;-0.33;1.53;0.74;1.45;1.26;3.97;2.28
15-05-2016;04:00:00;-2.26;3.20;-1.27;-2.87;1.16;0.25;-0.70;1.35;0.67;0.86;1.09;3.49;1.86
15-05-2016;12:03:00;-2.20;3.11;-1.27;-3.04;0.79;0.44;-0.39;1.58;0.67;0.48;0.90;3.86;2.17
15-05-2016;20:04:00;-2.32;3.24;-1.37;-3.59;0.78;0.57;0.08;1.42;0.72;0.77;0.93;3.89;2.12
16-05-2016;03:59:00;-3.95;2.99;-1.07;-3.23;0.94;0.34;-0.12;1.36;0.66;0.45;1.13;3.62;2.00
16-05-2016;11:54:00;-2.77;2.87;-1.06;-3.59;0.50;0.15;-0.00;1.26;0.27;0.39;0.85;3.62;2.01
16-05-2016;19:56:00;-2.24;2.98;-1.30;-4.52;0.35;0.43;0.48;1.45;0.63;0.80;0.73;3.72;1.70
17-05-2016;03:58:00;-2.28;2.90;-1.03;-4.68;0.46;0.37;0.42;1.39;0.60;0.67;1.28;3.65;1.79
17-05-2016;12:00:00;-2.39;3.14;-1.28;-4.73;0.49;0.25;-0.17;1.20;0.38;0.52;1.05;3.65;1.77
17-05-2016;20:03:00;-3.32;2.84;-1.32;-4.66;0.52;0.27;-0.11;1.30;0.41;0.54;1.37;3.31;1.95
18-05-2016;04:05:00;-3.87;3.26;-1.27;-3.95;0.95;-0.31;-0.46;1.08;0.22;0.07;0.85;2.57;1.50
18-05-2016;12:07:00;-3.21;2.93;-1.03;-4.68;0.01;-0.02;0.07;1.29;0.23;0.52;1.37;3.52;1.74
18-05-2016;19:54:00;-3.87;3.15;-0.41;-3.44;1.05;-0.47;-0.68;0.28;-0.14;0.13;0.38;3.36;1.45
19-05-2016;03:56:00;-3.29;2.89;-0.68;-3.38;0.93;-0.42;-0.55;0.58;0.04;0.12;0.98;3.40;1.38
19-05-2016;11:58:00;-2.17;3.02;-1.27;-4.25;0.47;-0.14;-0.72;1.06;0.06;0.94;1.26;3.47;1.92
19-05-2016;20:01:00;-1.66;3.11;-1.27;-5.12;0.19;0.46;0.09;1.64;0.64;0.51;1.89;3.69;2.42
20-05-2016;04:03:00;-2.39;2.87;-0.82;-4.22;0.75;0.03;-0.63;0.95;0.14;0.12;1.34;3.79;2.01
20-05-2016;11:58:00;-1.82;2.91;-0.64;-3.77;0.95;-0.42;-1.14;0.23;-0.38;0.96;0.88;3.68;1.76
20-05-2016;20:00:00;-1.20;3.09;-0.95;-4.75;0.35;0.16;-0.34;1.32;0.44;0.73;1.20;3.82;1.83
21-05-2016;01:11:00;-1.21;3.39;-0.98;-4.28;0.87;0.19;-0.49;1.16;0.28;0.47;1.30;4.08;1.95
25-05-2016;20:44:00;-2.27;3.10;-1.26;-5.94;0.40;-0.04;-0.92;0.67;0.18;0.80;1.23;3.76;1.49
26-05-2016;04:00:00;-2.41;2.71;-1.18;-6.03;0.33;-0.33;-1.03;0.42;0.11;0.62;1.31;3.79;1.43
26-05-2016;12:24:00;-1.26;2.83;-1.07;-5.93;-0.73;-0.62;-0.99;-0.02;-0.53;1.25;1.21;3.77;1.23
26-05-2016;19:57:00;-1.30;3.24;-1.46;-6.67;0.38;-0.25;-0.89;0.50;-0.04;0.55;1.42;3.83;1.13
27-05-2016;03:58:00;-1.57;3.42;-1.49;-6.78;0.85;-0.51;-1.32;0.12;-0.15;0.31;1.11;3.76;0.99
27-05-2016;11:53:00;-0.80;3.07;-1.11;-7.49;-0.24;-0.78;-0.89;0.03;-0.69;0.54;0.95;3.60;1.03
27-05-2016;19:55:00;-0.74;3.58;-1.69;-8.28;0.61;-0.06;-0.02;0.68;-0.16;0.45;1.04;3.88;0.87
28-05-2016;03:58:00;-0.46;3.49;-1.83;-8.02;0.66;-0.31;0.06;0.33;-0.20;0.93;1.05;4.06;0.83
28-05-2016;12:04:00;-0.40;3.88;-1.48;-8.47;0.47;-0.81;-0.35;-0.29;-0.82;1.59;0.71;3.01;0.83
28-05-2016;20:02:00;-1.81;3.71;-0.72;-7.87;1.39;-1.12;-1.21;-0.69;-0.75;0.21;0.44;2.92;0.36
29-05-2016;04:04:00;-1.51;3.75;-0.69;-6.61;2.23;-1.76;-1.59;-1.33;-1.15;-0.38;0.47;3.36;0.63
29-05-2016;11:59:00;-0.10;3.18;-0.50;-8.14;0.77;-1.28;-0.94;-0.71;-1.13;1.62;0.74;3.52;0.68
29-05-2016;19:53:00;-0.62;3.55;-1.31;-8.42;1.40;-0.89;-0.43;-0.11;-0.29;0.40;0.98;3.39;0.64
30-05-2016;03:56:00;-0.75;3.37;-0.99;-9.05;1.18;-0.91;-0.61;-0.13;-0.37;0.65;1.05;3.57;0.83
30-05-2016;11:58:00;-0.81;3.43;-0.87;-9.17;0.88;-1.19;-0.65;-0.50;-0.69;0.97;0.97;3.49;0.90
30-05-2016;20:00:00;-2.66;3.50;-0.80;-9.50;1.73;-1.38;-1.22;-0.75;-0.69;0.10;0.78;2.90;0.73
31-05-2016;04:03:00;-0.88;4.75;-2.91;-10.53;2.40;-0.41;0.18;-0.33;-1.24;0.48;-0.80;1.61;-1.09
31-05-2016;12:05:00;0.29;4.46;-2.85;-11.69;1.31;-0.65;-0.65;-0.61;-1.64;2.19;-0.89;1.82;-1.13
31-05-2016;19:59:00;1.23;4.56;-3.34;-13.46;0.92;0.38;0.36;0.82;-0.53;1.71;-0.03;1.95;-0.57
01-06-2016;03:54:00;1.49;4.65;-3.35;-13.70;0.93;0.32;0.20;0.94;-0.56;1.77;-0.35;1.97;-0.66
01-06-2016;12:00:00;1.63;4.64;-3.15;-14.35;-0.39;-0.35;-0.10;0.33;-1.21;3.55;-1.15;1.43;-1.10
01-06-2016;19:59:00;2.04;4.89;-3.45;-13.64;1.11;0.33;0.09;0.87;-0.42;1.49;-0.25;1.71;-0.64
02-06-2016;04:01:00;2.54;4.68;-3.63;-13.63;0.49;0.22;0.34;1.16;-0.39;1.84;-0.34;1.67;-0.80
02-06-2016;12:03:00;2.26;4.67;-3.74;-13.32;0.09;0.09;0.53;0.55;-1.22;2.94;-1.07;1.15;-1.40
02-06-2016;20:05:00;2.24;4.85;-3.71;-12.91;1.64;0.11;0.72;1.04;-0.84;1.34;-0.47;1.61;-0.83
03-06-2016;04:00:00;2.69;5.03;-3.57;-14.09;0.86;0.39;1.03;1.17;-0.52;1.50;-0.34;1.84;-0.75
03-06-2016;11:54:00;2.81;4.48;-3.20;-15.00;-0.65;0.15;0.77;0.48;-1.33;2.46;-0.32;1.76;-1.20
03-06-2016;19:57:00;2.90;4.45;-3.71;-14.37;0.64;0.28;1.58;1.26;-0.80;1.46;-0.21;1.69;-0.59
04-06-2016;03:59:00;3.24;4.72;-4.15;-14.39;0.64;0.56;1.86;1.50;-0.52;1.60;-0.27;1.85;-0.83
04-06-2016;12:01:00;3.70;4.72;-3.65;-15.04;-0.34;0.32;1.93;1.16;-0.94;2.08;-0.24;2.11;-0.82
04-06-2016;20:08:00;2.81;5.30;-4.59;-14.65;0.31;0.38;2.18;1.34;-0.49;1.14;-0.78;1.38;-1.27
05-06-2016;04:00:00;2.57;5.28;-4.57;-14.05;0.53;0.20;1.56;1.13;-0.73;0.98;-1.04;1.65;-1.21
05-06-2016;11:53:00;5.05;5.20;-4.58;-13.22;-0.78;0.71;2.45;1.39;-1.73;2.14;-1.26;1.12;-1.35
05-06-2016;19:55:00;3.47;5.14;-4.53;-14.48;-0.05;0.48;2.12;1.95;-0.86;0.76;-0.38;1.84;-0.77
06-06-2016;03:53:00;3.74;5.18;-4.67;-14.81;0.23;0.48;1.94;2.30;-0.73;0.60;-0.77;1.98;-0.19
06-06-2016;11:59:00;4.10;5.40;-4.12;-15.58;-0.41;0.40;1.80;2.28;-1.16;1.47;-0.88;1.92;-0.36
06-06-2016;20:02:00;3.67;5.56;-4.69;-16.22;0.07;0.42;2.21;2.48;-0.69;1.27;-0.86;1.91;-0.26
07-06-2016;04:04:00;3.50;5.40;-4.78;-16.63;-0.07;0.45;2.23;2.40;-0.72;1.25;-1.03;1.75;-0.55
07-06-2016;11:58:00;3.26;4.97;-4.52;-15.84;0.11;0.27;2.05;2.00;-1.47;1.33;-1.08;1.38;-1.05
07-06-2016;19:53:00;3.27;5.31;-5.22;-17.57;-0.05;0.71;2.46;2.63;-0.55;1.77;-0.45;1.92;-0.58
08-06-2016;03:55:00;3.34;5.24;-5.36;-17.70;0.01;0.69;2.50;2.63;-0.54;1.82;-0.49;2.17;-0.84
08-06-2016;11:57:00;3.72;4.98;-4.93;-17.61;-0.52;0.58;2.18;2.80;-0.63;1.34;-0.25;2.38;-0.85
08-06-2016;20:00:00;3.41;5.01;-4.85;-17.86;-0.07;0.52;1.39;2.84;-0.55;1.13;-0.30;2.65;-0.38
09-06-2016;04:02:00;3.31;5.12;-5.22;-17.20;0.55;0.60;0.83;2.75;-0.56;1.12;-1.14;1.98;-1.37
09-06-2016;12:04:00;3.86;4.94;-4.92;-17.01;-0.21;0.37;0.84;2.23;-0.83;1.67;-0.53;2.18;-1.45
09-06-2016;19:58:00;4.11;5.55;-5.21;-17.99;-0.28;0.85;1.47;2.74;-0.30;1.38;-0.29;2.35;-1.30
10-06-2016;03:53:00;3.49;5.40;-5.03;-17.12;0.07;0.61;1.36;2.48;-0.45;1.20;-1.23;2.17;-1.69
10-06-2016;11:55:00;4.47;4.97;-4.61;-17.32;-0.03;0.33;1.21;2.05;-0.91;1.23;-0.43;2.42;-1.77
10-06-2016;19:58:00;4.15;5.28;-5.09;-17.45;0.04;0.69;1.73;2.38;-0.58;1.10;-0.26;2.56;-1.98
11-06-2016;04:00:00;4.05;5.67;-5.30;-18.32;0.25;0.71;1.68;2.62;-0.42;1.08;-0.78;2.30;-2.12
11-06-2016;12:03:00;4.58;5.01;-4.81;-18.04;-0.36;0.11;1.36;2.13;-0.97;1.77;-0.13;2.67;-1.83
11-06-2016;20:05:00;4.03;5.39;-5.20;-17.96;0.16;0.66;1.35;2.27;-0.75;1.24;-0.32;2.33;-2.07
12-06-2016;03:59:00;4.11;5.55;-5.17;-17.85;0.20;0.62;1.30;2.54;-0.51;0.99;-0.67;2.03;-2.34
12-06-2016;11:54:00;3.95;5.14;-5.23;-18.88;-0.42;-0.19;0.56;1.40;-1.78;1.74;-1.00;1.50;-2.52
12-06-2016;19:56:00;4.06;5.45;-5.38;-18.25;-0.06;0.61;1.21;2.17;-0.65;0.95;0.14;2.25;-1.90
13-06-2016;03:58:00;3.94;5.45;-5.46;-19.02;-0.12;0.56;1.26;2.09;-0.55;0.98;-0.38;2.06;-2.35
13-06-2016;12:01:00;4.54;5.28;-5.30;-18.04;-0.51;-0.49;-0.36;0.74;-2.07;1.77;-1.15;1.28;-2.94
13-06-2016;20:03:00;4.20;5.45;-5.54;-18.98;-0.42;0.68;1.10;2.37;-0.71;0.98;0.14;2.29;-1.87
14-06-2016;04:05:00;3.62;5.11;-5.44;-18.67;0.06;0.47;0.54;2.15;-0.62;0.88;-0.11;1.85;-2.15
14-06-2016;12:00:00;3.75;5.19;-5.67;-18.15;-0.46;-0.16;-0.08;1.22;-1.64;1.15;-0.50;1.39;-2.63
14-06-2016;19:54:00;4.29;5.37;-5.86;-18.68;-0.00;0.42;0.78;2.00;-0.85;0.99;0.41;2.07;-2.19
15-06-2016;03:57:00;4.28;5.42;-5.66;-18.98;-0.08;0.60;0.93;2.01;-0.64;1.07;0.55;2.05;-2.07
15-06-2016;12:06:00;4.89;5.26;-5.66;-19.72;-0.84;0.64;1.21;2.16;-0.78;1.52;0.48;2.03;-2.18
15-06-2016;20:01:00;2.64;5.51;-5.87;-18.68;0.52;0.18;0.42;1.85;-0.96;0.04;-0.23;1.46;-2.34
16-06-2016;04:03:00;3.47;5.22;-6.24;-19.21;0.14;0.43;1.11;2.19;-0.77;0.92;0.45;2.00;-2.07
16-06-2016;11:58:00;3.70;4.70;-5.66;-18.95;-0.39;0.07;0.97;1.51;-1.65;1.94;0.15;1.49;-2.42
16-06-2016;19:52:00;3.04;5.31;-5.93;-18.81;0.61;0.22;0.85;1.73;-0.98;0.74;0.17;1.65;-2.41
17-06-2016;03:55:00;4.09;5.39;-6.12;-19.71;0.44;0.39;1.39;2.19;-0.71;1.29;0.33;1.81;-2.14
17-06-2016;11:57:00;3.42;5.16;-5.57;-18.25;0.51;-0.63;0.25;0.90;-1.89;1.16;-0.47;1.37;-2.30
17-06-2016;20:00:00;2.53;5.01;-5.87;-18.75;0.81;0.02;0.19;1.53;-1.23;-0.27;-0.16;1.93;-2.13
18-06-2016;04:02:00;1.49;5.51;-6.27;-18.98;1.09;-0.07;0.17;1.41;-1.25;-0.24;-0.50;1.72;-2.20
18-06-2016;12:04:00;0.55;5.14;-6.15;-17.68;-0.49;-0.30;0.53;1.25;-2.04;1.33;-0.22;2.21;-1.80
18-06-2016;19:59:00;-0.29;5.05;-6.53;-17.43;-1.39;0.54;1.67;2.92;-0.70;1.12;0.46;2.84;-1.42
19-06-2016;03:53:00;-0.74;4.91;-6.54;-16.97;-1.19;0.55;1.68;2.89;-0.74;1.02;0.58;2.98;-1.33
19-06-2016;12:00:00;0.25;4.96;-6.40;-17.01;-1.30;0.53;1.73;2.64;-0.92;0.57;1.14;3.00;-0.95
19-06-2016;19:58:00;0.04;4.99;-6.47;-17.00;-0.92;0.33;1.41;2.35;-0.94;0.43;0.64;2.89;-1.43
20-06-2016;04:00:00;-1.03;4.88;-6.39;-15.80;-0.12;-0.25;0.63;1.56;-1.60;-0.03;0.18;2.26;-1.68
20-06-2016;12:02:00;-0.70;5.34;-6.76;-16.79;-0.56;-0.19;0.63;1.40;-1.36;0.60;0.23;2.03;-2.01
20-06-2016;20:05:00;-1.85;5.25;-6.43;-15.92;-0.08;-0.33;1.08;1.09;-1.38;-0.06;-0.43;2.04;-2.33
21-06-2016;03:56:00;-0.26;5.55;-6.65;-17.99;-0.98;0.05;1.45;2.25;-0.98;0.76;0.12;2.39;-1.68
21-06-2016;11:54:00;-0.74;5.71;-6.75;-17.81;-1.50;-0.40;0.92;2.03;-1.49;1.08;-0.09;2.29;-1.83
21-06-2016;19:56:00;-0.37;5.51;-6.93;-17.84;-0.75;0.18;1.83;2.76;-1.02;0.51;0.53;2.79;-1.27
22-06-2016;03:59:00;-0.62;5.08;-6.68;-17.04;-0.57;0.08;1.51;2.47;-1.11;0.22;-0.06;2.66;-1.81
